division_id	division_date	division_name
34139	2019-12-20	European Union (Withdrawal Agreement) Bill
34140	2019-12-20	European Union (Withdrawal Agreement) Bill (Programme)
34141	2020-01-07	European Union (Withdrawal Agreement) Bill &#8212; Protecting EU Citizens&#8217; Rights
34142	2020-01-07	European Union (Withdrawal Agreement) Bill &#8212; Fee Levels and Exemptions
34143	2020-01-07	European Union (Withdrawal Agreement) Bill &#8212; Settled status: right to appeal
34144	2020-01-08	European Union (Withdrawal Agreement) Bill &#8212; Main power in connection with Ireland/Northern Ireland Protocol
34145	2020-01-08	European Union (Withdrawal Agreement) Bill &#8212; Arrangements with EU about unaccompanied children seeking asylum
34146	2020-01-08	European Union (Withdrawal Agreement) Bill &#8212; Parliamentary approval of the future relationship
34147	2020-01-08	European Union (Withdrawal Agreement) Bill &#8212; Northern Ireland&#8217;s place in the UK internal market
34148	2020-01-08	European Union (Withdrawal Agreement) Bill &#8212; Interpretation
34149	2020-01-08	European Union (Withdrawal Agreement) Bill &#8212; Implementation period negotiating objectives: Erasmus+
34150	2020-01-08	European Union (Withdrawal Agreement) Bill &#8212; Implementation period negotiating objectives: level playing-field
34151	2020-01-09	European Union (Withdrawal Agreement) Bill
34152	2020-01-09	European Union (Withdrawal Agreement) Bill
34153	2020-01-16	Health and Social Care
34154	2020-01-20	Economy and Jobs
34155	2020-01-20	Economy and Jobs
34156	2020-01-20	Economy and Jobs
34157	2020-01-20	Economy and Jobs
34163	2020-01-22	European Union (Withdrawal Agreement) Bill &#8212; Rights related to residence: application deadline and temporary protection
34164	2020-01-22	European Union (Withdrawal Agreement) Bill &#8212; Interpretation of retained EU law and relevant separation agreement law
34165	2020-01-22	European Union (Withdrawal Agreement) Bill &#8212; Interpretation of retained EU law and relevant separation agreement law
34166	2020-01-22	European Union (Withdrawal Agreement) Bill &#8212; Arrangements with EU about unaccompanied children seeking asylum
34168	2020-01-22	European Union (Withdrawal Agreement) Bill &#8212; Regulations
34194	2020-01-29	Policing and Crime
34195	2020-01-29	Homelessness
34196	2020-02-03	Agriculture Bill
34197	2020-02-04	NHS Funding Bill &#8212; Funding Settlement for the health service in England
34198	2020-02-04	NHS Funding Bill &#8212; Funding Settlement for the health service in England
34199	2020-02-04	NHS Funding Bill &#8212; Annual statement on performance
34200	2020-02-05	Local Government Finance
34201	2020-02-05	Transport
34180	2020-02-11	Opposition Day &#8212; Migration and Scotland
34181	2020-02-12	Terrorist Offenders (Restriction of Early Release) Bill (Business of the House)
34202	2020-02-25	Tax Avoidance and Evasion
34203	2020-02-25	Social Care
34204	2020-03-04	Flooding
34205	2020-03-04	Health Inequalities
34206	2020-03-10	Telecommunications Infrastructure (Leasehold Property) Bill &#8212; Code rights in respect of land connected to leased premises
