mp_id	first_name	last_name	party	constituency	entered_house	left_house
42461	Diane	Abbott	Lab	Hackney North and Stoke Newington	2019-12-13	9999-12-31
42497	Debbie	Abrahams	Lab	Oldham East and Saddleworth	2019-12-13	9999-12-31
42560	Nigel	Adams	Con	Selby and Ainsty	2019-12-13	9999-12-31
42559	Bim	Afolami	Con	Hitchin and Harpenden	2019-12-13	9999-12-31
42528	Adam	Afriyie	Con	Windsor	2019-12-13	9999-12-31
42205	Nickie	Aiken	Con	Cities of London and Westminster	2019-12-13	9999-12-31
42611	Peter	Aldous	Con	Waveney	2019-12-13	9999-12-31
42597	Rushanara	Ali	Lab	Bethnal Green and Bow	2019-12-13	9999-12-31
42503	Tahir	Ali	Lab	Birmingham, Hall Green	2019-12-13	9999-12-31
42202	Lucy	Allan	Con	Telford	2019-12-13	9999-12-31
42250	Rosena	Allin-Khan	Lab	Tooting	2019-12-13	9999-12-31
42437	Mike	Amesbury	Lab	Weaver Vale	2019-12-13	9999-12-31
42137	David	Amess	Con	Southend West	2019-12-13	2021-10-15
42183	Fleur	Anderson	Lab	Putney	2019-12-13	9999-12-31
42210	Stuart	Anderson	Con	Wolverhampton South West	2019-12-13	9999-12-31
42525	Lee	Anderson	Con	Ashfield	2019-12-13	9999-12-31
42508	Stuart	Andrew	Con	Pudsey	2019-12-13	9999-12-31
42229	Caroline	Ansell	Con	Eastbourne	2019-12-13	9999-12-31
42314	Tonia	Antoniazzi	Lab	Gower	2019-12-13	9999-12-31
42653	Edward	Argar	Con	Charnwood	2019-12-13	9999-12-31
42424	Jon	Ashworth	Lab	Leicester South	2019-12-13	9999-12-31
42179	Sarah	Atherton	Con	Wrexham	2019-12-13	9999-12-31
42348	Victoria	Atkins	Con	Louth and Horncastle	2019-12-13	9999-12-31
42494	Richard	Bacon	Con	South Norfolk	2019-12-13	9999-12-31
42498	Gareth	Bacon	Con	Orpington	2019-12-13	9999-12-31
42180	Kemi	Badenoch	Con	Saffron Walden	2019-12-13	9999-12-31
42185	Shaun	Bailey	Con	West Bromwich West	2019-12-13	9999-12-31
42284	Siobhan	Baillie	Con	Stroud	2019-12-13	9999-12-31
42107	Steven	Baker	Con	Wycombe	2019-12-13	9999-12-31
42303	Duncan	Baker	Con	North Norfolk	2019-12-13	9999-12-31
42434	Harriett	Baldwin	Con	West Worcestershire	2019-12-13	9999-12-31
42474	Steve	Barclay	Con	North East Cambridgeshire	2019-12-13	9999-12-31
42403	Hannah	Bardell	SNP	Livingston	2019-12-13	9999-12-31
42213	Paula	Barker	Lab	Liverpool, Wavertree	2019-12-13	9999-12-31
42188	John	Baron	Con	Basildon and Billericay	2019-12-13	9999-12-31
42124	Simon	Baynes	Con	Clwyd South	2019-12-13	9999-12-31
42553	Margaret	Beckett	Lab	Derby South	2019-12-13	9999-12-31
42145	&Oacute;rfhlaith	Begley	SF	West Tyrone	2019-12-13	9999-12-31
42655	Apsana	Begum	Lab	Poplar and Limehouse	2019-12-13	9999-12-31
42666	Aaron	Bell	Con	Newcastle-under-Lyme	2019-12-13	9999-12-31
42275	Hilary	Benn	Lab	Leeds Central	2019-12-13	9999-12-31
42127	Scott	Benton	Con	Blackpool South	2019-12-13	9999-12-31
42589	Paul	Beresford	Con	Mole Valley	2019-12-13	9999-12-31
42612	Jake	Berry	Con	Rossendale and Darwen	2019-12-13	9999-12-31
42363	Clive	Betts	Lab	Sheffield South East	2019-12-13	9999-12-31
42311	Saqib	Bhatti	Con	Meriden	2019-12-13	9999-12-31
42136	Mhairi	Black	SNP	Paisley and Renfrewshire South	2019-12-13	9999-12-31
42702	Ian	Blackford	SNP	Ross, Skye and Lochaber	2019-12-13	9999-12-31
42334	Bob	Blackman	Con	Harrow East	2019-12-13	9999-12-31
42381	Kirsty	Blackman	SNP	Aberdeen North	2019-12-13	9999-12-31
42634	Olivia	Blake	Lab	Sheffield, Hallam	2019-12-13	9999-12-31
42588	Paul	Blomfield	Lab	Sheffield Central	2019-12-13	9999-12-31
42291	Crispin	Blunt	Con	Reigate	2019-12-13	9999-12-31
42209	Peter	Bone	Con	Wellingborough	2019-12-13	9999-12-31
42359	Steven	Bonnar	SNP	Coatbridge, Chryston and Bellshill	2019-12-13	9999-12-31
42690	Peter	Bottomley	Con	Worthing West	2019-12-13	9999-12-31
42710	Andrew	Bowie	Con	West Aberdeenshire and Kincardine	2019-12-13	9999-12-31
42641	Tracy	Brabin	Lab	Batley and Spen	2019-12-13	2021-05-10
42562	Karen	Bradley	Con	Staffordshire Moorlands	2019-12-13	9999-12-31
42391	Ben	Bradley	Con	Mansfield	2019-12-13	9999-12-31
42570	Ben	Bradshaw	Lab	Exeter	2019-12-13	9999-12-31
42629	Graham	Brady	Con	Altrincham and Sale West	2019-12-13	9999-12-31
42651	Mickey	Brady	SF	Newry and Armagh	2019-12-13	9999-12-31
42115	Suella	Braverman	Con	Fareham	2019-12-13	9999-12-31
42614	Kevin	Brennan	Lab	Cardiff West	2019-12-13	9999-12-31
42548	Jack	Brereton	Con	Stoke-on-Trent South	2019-12-13	9999-12-31
42450	Andrew	Bridgen	Con	North West Leicestershire	2019-12-13	9999-12-31
42694	Steve	Brine	Con	Winchester	2019-12-13	9999-12-31
42103	Paul	Bristow	Con	Peterborough	2019-12-13	9999-12-31
42430	Sara	Britcliffe	Con	Hyndburn	2019-12-13	9999-12-31
42649	Deidre	Brock	SNP	Edinburgh North and Leith	2019-12-13	9999-12-31
42400	James	Brokenshire	Con	Old Bexley and Sidcup	2019-12-13	2021-10-07
42082	Nick	Brown	Lab	Newcastle upon Tyne East	2019-12-13	9999-12-31
42357	Lyn	Brown	Lab	West Ham	2019-12-13	9999-12-31
42358	Alan	Brown	SNP	Kilmarnock and Loudoun	2019-12-13	9999-12-31
42318	Anthony	Browne	Con	South Cambridgeshire	2019-12-13	9999-12-31
42659	Fiona	Bruce	Con	Congleton	2019-12-13	9999-12-31
42156	Chris	Bryant	Lab	Rhondda	2019-12-13	9999-12-31
42512	Felicity	Buchan	Con	Kensington	2019-12-13	9999-12-31
42282	Karen	Buck	Lab	Westminster North	2019-12-13	9999-12-31
42148	Robert	Buckland	Con	South Swindon	2019-12-13	9999-12-31
42399	Alex	Burghart	Con	Brentwood and Ongar	2019-12-13	9999-12-31
42444	Richard	Burgon	Lab	Leeds East	2019-12-13	9999-12-31
